"epoch","denim-frost-166 - _step","denim-frost-166 - _step__MIN","denim-frost-166 - _step__MAX","denim-frost-166 - train/loss_epoch","denim-frost-166 - train/loss_epoch__MIN","denim-frost-166 - train/loss_epoch__MAX","gallant-sun-165 - _step","gallant-sun-165 - _step__MIN","gallant-sun-165 - _step__MAX","gallant-sun-165 - train/loss_epoch","gallant-sun-165 - train/loss_epoch__MIN","gallant-sun-165 - train/loss_epoch__MAX","warm-elevator-164 - _step","warm-elevator-164 - _step__MIN","warm-elevator-164 - _step__MAX","warm-elevator-164 - train/loss_epoch","warm-elevator-164 - train/loss_epoch__MIN","warm-elevator-164 - train/loss_epoch__MAX","fresh-darkness-163 - _step","fresh-darkness-163 - _step__MIN","fresh-darkness-163 - _step__MAX","fresh-darkness-163 - train/loss_epoch","fresh-darkness-163 - train/loss_epoch__MIN","fresh-darkness-163 - train/loss_epoch__MAX","whole-eon-162 - _step","whole-eon-162 - _step__MIN","whole-eon-162 - _step__MAX","whole-eon-162 - train/loss_epoch","whole-eon-162 - train/loss_epoch__MIN","whole-eon-162 - train/loss_epoch__MAX","treasured-bush-159 - _step","treasured-bush-159 - _step__MIN","treasured-bush-159 - _step__MAX","treasured-bush-159 - train/loss_epoch","treasured-bush-159 - train/loss_epoch__MIN","treasured-bush-159 - train/loss_epoch__MAX","trim-water-158 - _step","trim-water-158 - _step__MIN","trim-water-158 - _step__MAX","trim-water-158 - train/loss_epoch","trim-water-158 - train/loss_epoch__MIN","trim-water-158 - train/loss_epoch__MAX","rose-fog-156 - _step","rose-fog-156 - _step__MIN","rose-fog-156 - _step__MAX","rose-fog-156 - train/loss_epoch","rose-fog-156 - train/loss_epoch__MIN","rose-fog-156 - train/loss_epoch__MAX","kind-durian-155 - _step","kind-durian-155 - _step__MIN","kind-durian-155 - _step__MAX","kind-durian-155 - train/loss_epoch","kind-durian-155 - train/loss_epoch__MIN","kind-durian-155 - train/loss_epoch__MAX","distinctive-disco-153 - _step","distinctive-disco-153 - _step__MIN","distinctive-disco-153 - _step__MAX","distinctive-disco-153 - train/loss_epoch","distinctive-disco-153 - train/loss_epoch__MIN","distinctive-disco-153 - train/loss_epoch__MAX","crisp-field-152 - _step","crisp-field-152 - _step__MIN","crisp-field-152 - _step__MAX","crisp-field-152 - train/loss_epoch","crisp-field-152 - train/loss_epoch__MIN","crisp-field-152 - train/loss_epoch__MAX","stoic-jazz-100 - _step","stoic-jazz-100 - _step__MIN","stoic-jazz-100 - _step__MAX","stoic-jazz-100 - train/loss_epoch","stoic-jazz-100 - train/loss_epoch__MIN","stoic-jazz-100 - train/loss_epoch__MAX"
"10","43","43","43","1.454220175743103","1.454220175743103","1.454220175743103","43","43","43","1.455887794494629","1.455887794494629","1.455887794494629","43","43","43","1.8430891036987305","1.8430891036987305","1.8430891036987305","881","881","881","1.0153785943984985","1.0153785943984985","1.0153785943984985","881","881","881","1.030348777770996","1.030348777770996","1.030348777770996","881","881","881","1.009626865386963","1.009626865386963","1.009626865386963","881","881","881","0.9849727153778076","0.9849727153778076","0.9849727153778076","881","881","881","1.0243250131607056","1.0243250131607056","1.0243250131607056","881","881","881","1.0258327722549438","1.0258327722549438","1.0258327722549438","43","43","43","1.7876017093658447","1.7876017093658447","1.7876017093658447","881","881","881","0.9725627303123474","0.9725627303123474","0.9725627303123474","881","881","881","1.0236892700195312","1.0236892700195312","1.0236892700195312"
"11","47","47","47","1.3888014554977417","1.3888014554977417","1.3888014554977417","47","47","47","1.4367549419403076","1.4367549419403076","1.4367549419403076","47","47","47","1.8038619756698608","1.8038619756698608","1.8038619756698608","961","961","961","1.0094927549362183","1.0094927549362183","1.0094927549362183","961","961","961","1.0239661931991577","1.0239661931991577","1.0239661931991577","961","961","961","0.9837087392807007","0.9837087392807007","0.9837087392807007","961","961","961","0.9791619777679443","0.9791619777679443","0.9791619777679443","961","961","961","1.0167804956436157","1.0167804956436157","1.0167804956436157","961","961","961","1.0216642618179321","1.0216642618179321","1.0216642618179321","47","47","47","1.7371035814285278","1.7371035814285278","1.7371035814285278","961","961","961","0.9587184190750122","0.9587184190750122","0.9587184190750122","961","961","961","1.016723394393921","1.016723394393921","1.016723394393921"
"12","51","51","51","1.3302505016326904","1.3302505016326904","1.3302505016326904","51","51","51","1.3456218242645264","1.3456218242645264","1.3456218242645264","51","51","51","1.7501630783081055","1.7501630783081055","1.7501630783081055","1041","1041","1041","1.0120060443878174","1.0120060443878174","1.0120060443878174","1041","1041","1041","1.0190181732177734","1.0190181732177734","1.0190181732177734","1041","1041","1041","0.969078779220581","0.969078779220581","0.969078779220581","1041","1041","1041","0.9736070036888123","0.9736070036888123","0.9736070036888123","1041","1041","1041","1.0151746273040771","1.0151746273040771","1.0151746273040771","1041","1041","1041","1.0157861709594727","1.0157861709594727","1.0157861709594727","51","51","51","1.6862382888793945","1.6862382888793945","1.6862382888793945","1041","1041","1041","0.9512057900428772","0.9512057900428772","0.9512057900428772","1041","1041","1041","1.0139753818511963","1.0139753818511963","1.0139753818511963"
"13","55","55","55","1.3341131210327148","1.3341131210327148","1.3341131210327148","55","55","55","1.3168810606002808","1.3168810606002808","1.3168810606002808","55","55","55","1.6953673362731934","1.6953673362731934","1.6953673362731934","1121","1121","1121","1.0079295635223389","1.0079295635223389","1.0079295635223389","1121","1121","1121","1.0175530910491943","1.0175530910491943","1.0175530910491943","1121","1121","1121","0.9528403282165527","0.9528403282165527","0.9528403282165527","1121","1121","1121","0.97003173828125","0.97003173828125","0.97003173828125","1121","1121","1121","1.0148133039474487","1.0148133039474487","1.0148133039474487","1121","1121","1121","1.009701132774353","1.009701132774353","1.009701132774353","55","55","55","1.6399531364440918","1.6399531364440918","1.6399531364440918","1121","1121","1121","0.9402182102203369","0.9402182102203369","0.9402182102203369","1121","1121","1121","1.0149126052856445","1.0149126052856445","1.0149126052856445"
"14","59","59","59","1.267625331878662","1.267625331878662","1.267625331878662","59","59","59","1.2666594982147217","1.2666594982147217","1.2666594982147217","59","59","59","1.6514678001403809","1.6514678001403809","1.6514678001403809","1201","1201","1201","1.011405348777771","1.011405348777771","1.011405348777771","1201","1201","1201","1.0191071033477783","1.0191071033477783","1.0191071033477783","1201","1201","1201","0.9492931962013245","0.9492931962013245","0.9492931962013245","1201","1201","1201","0.9652164578437805","0.9652164578437805","0.9652164578437805","1201","1201","1201","1.0190707445144653","1.0190707445144653","1.0190707445144653","1201","1201","1201","1.004568099975586","1.004568099975586","1.004568099975586","59","59","59","1.6102665662765503","1.6102665662765503","1.6102665662765503","1201","1201","1201","0.9429404735565186","0.9429404735565186","0.9429404735565186","1201","1201","1201","1.0134541988372803","1.0134541988372803","1.0134541988372803"
"15","63","63","63","1.2243928909301758","1.2243928909301758","1.2243928909301758","63","63","63","1.2475939989089966","1.2475939989089966","1.2475939989089966","63","63","63","1.6067732572555542","1.6067732572555542","1.6067732572555542","1281","1281","1281","1.001695990562439","1.001695990562439","1.001695990562439","1281","1281","1281","1.014014720916748","1.014014720916748","1.014014720916748","1281","1281","1281","0.9355736970901489","0.9355736970901489","0.9355736970901489","1281","1281","1281","0.9569699764251709","0.9569699764251709","0.9569699764251709","1281","1281","1281","1.0124520063400269","1.0124520063400269","1.0124520063400269","1281","1281","1281","1.0037857294082642","1.0037857294082642","1.0037857294082642","63","63","63","1.5485059022903442","1.5485059022903442","1.5485059022903442","1281","1281","1281","0.9287266135215759","0.9287266135215759","0.9287266135215759","1281","1281","1281","1.0018457174301147","1.0018457174301147","1.0018457174301147"
"16","67","67","67","1.2147479057312012","1.2147479057312012","1.2147479057312012","67","67","67","1.1886893510818481","1.1886893510818481","1.1886893510818481","67","67","67","1.5562524795532227","1.5562524795532227","1.5562524795532227","1361","1361","1361","0.998138427734375","0.998138427734375","0.998138427734375","1361","1361","1361","1.0072022676467896","1.0072022676467896","1.0072022676467896","1361","1361","1361","0.9217888116836548","0.9217888116836548","0.9217888116836548","1361","1361","1361","0.9518247842788696","0.9518247842788696","0.9518247842788696","1361","1361","1361","1.0062373876571655","1.0062373876571655","1.0062373876571655","1361","1361","1361","1.0046372413635254","1.0046372413635254","1.0046372413635254","67","67","67","1.4969476461410522","1.4969476461410522","1.4969476461410522","1361","1361","1361","0.9198339581489563","0.9198339581489563","0.9198339581489563","1361","1361","1361","0.9973114728927612","0.9973114728927612","0.9973114728927612"
"17","71","71","71","1.1562392711639404","1.1562392711639404","1.1562392711639404","71","71","71","1.164577603340149","1.164577603340149","1.164577603340149","71","71","71","1.519436240196228","1.519436240196228","1.519436240196228","1441","1441","1441","1.00872802734375","1.00872802734375","1.00872802734375","1441","1441","1441","1.0173205137252808","1.0173205137252808","1.0173205137252808","1441","1441","1441","0.9142460227012634","0.9142460227012634","0.9142460227012634","1441","1441","1441","0.9503478407859802","0.9503478407859802","0.9503478407859802","1441","1441","1441","1.0092437267303467","1.0092437267303467","1.0092437267303467","1441","1441","1441","1.003904104232788","1.003904104232788","1.003904104232788","71","71","71","1.4537662267684937","1.4537662267684937","1.4537662267684937","1441","1441","1441","0.9202978014945984","0.9202978014945984","0.9202978014945984","1441","1441","1441","1.004518747329712","1.004518747329712","1.004518747329712"
"18","75","75","75","1.1249042749404907","1.1249042749404907","1.1249042749404907","75","75","75","1.125228762626648","1.125228762626648","1.125228762626648","75","75","75","1.4721243381500244","1.4721243381500244","1.4721243381500244","1521","1521","1521","0.9974183440208435","0.9974183440208435","0.9974183440208435","1521","1521","1521","1.0107582807540894","1.0107582807540894","1.0107582807540894","1521","1521","1521","0.9071974158287048","0.9071974158287048","0.9071974158287048","1521","1521","1521","0.9449122548103333","0.9449122548103333","0.9449122548103333","1521","1521","1521","1.0090322494506836","1.0090322494506836","1.0090322494506836","1521","1521","1521","0.998370885848999","0.998370885848999","0.998370885848999","75","75","75","1.4116801023483276","1.4116801023483276","1.4116801023483276","1521","1521","1521","0.9113067388534546","0.9113067388534546","0.9113067388534546","1521","1521","1521","0.9970468878746033","0.9970468878746033","0.9970468878746033"
"19","79","79","79","1.10701584815979","1.10701584815979","1.10701584815979","79","79","79","1.0937665700912476","1.0937665700912476","1.0937665700912476","79","79","79","1.4321123361587524","1.4321123361587524","1.4321123361587524","1603","1603","1603","0.9924098253250122","0.9924098253250122","0.9924098253250122","1603","1603","1603","1.0059189796447754","1.0059189796447754","1.0059189796447754","1603","1603","1603","0.891084611415863","0.891084611415863","0.891084611415863","1603","1603","1603","0.9388954043388367","0.9388954043388367","0.9388954043388367","1603","1603","1603","0.9971696734428406","0.9971696734428406","0.9971696734428406","1603","1603","1603","0.9888631105422974","0.9888631105422974","0.9888631105422974","79","79","79","1.3755159378051758","1.3755159378051758","1.3755159378051758","1603","1603","1603","0.9028612375259399","0.9028612375259399","0.9028612375259399","1603","1603","1603","0.9857147932052612","0.9857147932052612","0.9857147932052612"
"20","83","83","83","1.0654531717300415","1.0654531717300415","1.0654531717300415","83","83","83","1.0822023153305054","1.0822023153305054","1.0822023153305054","83","83","83","1.3860490322113037","1.3860490322113037","1.3860490322113037","1683","1683","1683","0.9870880246162415","0.9870880246162415","0.9870880246162415","1683","1683","1683","0.9949774742126465","0.9949774742126465","0.9949774742126465","1683","1683","1683","0.8811877369880676","0.8811877369880676","0.8811877369880676","1683","1683","1683","0.9303260445594788","0.9303260445594788","0.9303260445594788","1683","1683","1683","0.9901536703109741","0.9901536703109741","0.9901536703109741","1683","1683","1683","0.982401967048645","0.982401967048645","0.982401967048645","83","83","83","1.339492917060852","1.339492917060852","1.339492917060852","1683","1683","1683","0.8923671841621399","0.8923671841621399","0.8923671841621399","1683","1683","1683","0.9865447878837585","0.9865447878837585","0.9865447878837585"
"21","87","87","87","1.047403335571289","1.047403335571289","1.047403335571289","87","87","87","1.044093132019043","1.044093132019043","1.044093132019043","87","87","87","1.3392059803009033","1.3392059803009033","1.3392059803009033","1763","1763","1763","0.9883111715316772","0.9883111715316772","0.9883111715316772","1763","1763","1763","0.9946714639663696","0.9946714639663696","0.9946714639663696","1763","1763","1763","0.879862368106842","0.879862368106842","0.879862368106842","1763","1763","1763","0.9310153722763062","0.9310153722763062","0.9310153722763062","1763","1763","1763","0.993947446346283","0.993947446346283","0.993947446346283","1763","1763","1763","0.986993134021759","0.986993134021759","0.986993134021759","87","87","87","1.3034840822219849","1.3034840822219849","1.3034840822219849","1763","1763","1763","0.8928619623184204","0.8928619623184204","0.8928619623184204","1763","1763","1763","0.9839694499969482","0.9839694499969482","0.9839694499969482"
"22","91","91","91","1.0038930177688599","1.0038930177688599","1.0038930177688599","91","91","91","1.012022614479065","1.012022614479065","1.012022614479065","91","91","91","1.2969709634780884","1.2969709634780884","1.2969709634780884","1843","1843","1843","0.9920226335525513","0.9920226335525513","0.9920226335525513","1843","1843","1843","0.9979634881019592","0.9979634881019592","0.9979634881019592","1843","1843","1843","0.8752598166465759","0.8752598166465759","0.8752598166465759","1843","1843","1843","0.9306422472000122","0.9306422472000122","0.9306422472000122","1843","1843","1843","1.0013525485992432","1.0013525485992432","1.0013525485992432","1843","1843","1843","0.9845107793807983","0.9845107793807983","0.9845107793807983","91","91","91","1.2710076570510864","1.2710076570510864","1.2710076570510864","1843","1843","1843","0.8924240469932556","0.8924240469932556","0.8924240469932556","1843","1843","1843","0.9870553016662598","0.9870553016662598","0.9870553016662598"
"23","95","95","95","1.0088390111923218","1.0088390111923218","1.0088390111923218","95","95","95","0.9892327189445496","0.9892327189445496","0.9892327189445496","95","95","95","1.2716974020004272","1.2716974020004272","1.2716974020004272","1923","1923","1923","0.9853441119194031","0.9853441119194031","0.9853441119194031","1923","1923","1923","0.9974724054336548","0.9974724054336548","0.9974724054336548","1923","1923","1923","0.870477020740509","0.870477020740509","0.870477020740509","1923","1923","1923","0.9253348708152771","0.9253348708152771","0.9253348708152771","1923","1923","1923","0.9950085878372192","0.9950085878372192","0.9950085878372192","1923","1923","1923","0.9859607815742493","0.9859607815742493","0.9859607815742493","95","95","95","1.2470364570617676","1.2470364570617676","1.2470364570617676","1923","1923","1923","0.8865914940834045","0.8865914940834045","0.8865914940834045","1923","1923","1923","0.9840800166130066","0.9840800166130066","0.9840800166130066"
"24","99","99","99","0.9726684093475342","0.9726684093475342","0.9726684093475342","99","99","99","0.9653116464614868","0.9653116464614868","0.9653116464614868","99","99","99","1.2313988208770752","1.2313988208770752","1.2313988208770752","2003","2003","2003","0.9894997477531433","0.9894997477531433","0.9894997477531433","2003","2003","2003","0.9947890639305115","0.9947890639305115","0.9947890639305115","2003","2003","2003","0.8662733435630798","0.8662733435630798","0.8662733435630798","2003","2003","2003","0.9274965524673462","0.9274965524673462","0.9274965524673462","2003","2003","2003","0.9914256930351257","0.9914256930351257","0.9914256930351257","2003","2003","2003","0.9833659529685974","0.9833659529685974","0.9833659529685974","99","99","99","1.2245427370071411","1.2245427370071411","1.2245427370071411","2003","2003","2003","0.8910468220710754","0.8910468220710754","0.8910468220710754","2003","2003","2003","0.987643837928772","0.987643837928772","0.987643837928772"
"25","103","103","103","0.9523180723190308","0.9523180723190308","0.9523180723190308","103","103","103","0.9471403360366821","0.9471403360366821","0.9471403360366821","103","103","103","1.2105976343154907","1.2105976343154907","1.2105976343154907","2083","2083","2083","0.9947259426116943","0.9947259426116943","0.9947259426116943","2083","2083","2083","1.0012537240982056","1.0012537240982056","1.0012537240982056","2083","2083","2083","0.8628076314926147","0.8628076314926147","0.8628076314926147","2083","2083","2083","0.9293419718742371","0.9293419718742371","0.9293419718742371","2083","2083","2083","0.9992051720619202","0.9992051720619202","0.9992051720619202","2083","2083","2083","0.9892680644989014","0.9892680644989014","0.9892680644989014","103","103","103","1.1988223791122437","1.1988223791122437","1.1988223791122437","2083","2083","2083","0.8900039196014404","0.8900039196014404","0.8900039196014404","2083","2083","2083","0.9869176745414734","0.9869176745414734","0.9869176745414734"
"26","107","107","107","0.92685467004776","0.92685467004776","0.92685467004776","107","107","107","0.9412168860435486","0.9412168860435486","0.9412168860435486","107","107","107","1.1672234535217285","1.1672234535217285","1.1672234535217285","2163","2163","2163","0.99388587474823","0.99388587474823","0.99388587474823","2163","2163","2163","0.9985004663467407","0.9985004663467407","0.9985004663467407","2163","2163","2163","0.8591288328170776","0.8591288328170776","0.8591288328170776","2163","2163","2163","0.9287411570549011","0.9287411570549011","0.9287411570549011","2163","2163","2163","1.0012470483779907","1.0012470483779907","1.0012470483779907","2163","2163","2163","0.9854427576065063","0.9854427576065063","0.9854427576065063","107","107","107","1.1654293537139893","1.1654293537139893","1.1654293537139893","2163","2163","2163","0.8834035992622375","0.8834035992622375","0.8834035992622375","2163","2163","2163","0.9881260991096497","0.9881260991096497","0.9881260991096497"
