"epoch","denim-frost-166 - _step","denim-frost-166 - _step__MIN","denim-frost-166 - _step__MAX","denim-frost-166 - train/accuracy_epoch","denim-frost-166 - train/accuracy_epoch__MIN","denim-frost-166 - train/accuracy_epoch__MAX","gallant-sun-165 - _step","gallant-sun-165 - _step__MIN","gallant-sun-165 - _step__MAX","gallant-sun-165 - train/accuracy_epoch","gallant-sun-165 - train/accuracy_epoch__MIN","gallant-sun-165 - train/accuracy_epoch__MAX","warm-elevator-164 - _step","warm-elevator-164 - _step__MIN","warm-elevator-164 - _step__MAX","warm-elevator-164 - train/accuracy_epoch","warm-elevator-164 - train/accuracy_epoch__MIN","warm-elevator-164 - train/accuracy_epoch__MAX","fresh-darkness-163 - _step","fresh-darkness-163 - _step__MIN","fresh-darkness-163 - _step__MAX","fresh-darkness-163 - train/accuracy_epoch","fresh-darkness-163 - train/accuracy_epoch__MIN","fresh-darkness-163 - train/accuracy_epoch__MAX","whole-eon-162 - _step","whole-eon-162 - _step__MIN","whole-eon-162 - _step__MAX","whole-eon-162 - train/accuracy_epoch","whole-eon-162 - train/accuracy_epoch__MIN","whole-eon-162 - train/accuracy_epoch__MAX","treasured-bush-159 - _step","treasured-bush-159 - _step__MIN","treasured-bush-159 - _step__MAX","treasured-bush-159 - train/accuracy_epoch","treasured-bush-159 - train/accuracy_epoch__MIN","treasured-bush-159 - train/accuracy_epoch__MAX","trim-water-158 - _step","trim-water-158 - _step__MIN","trim-water-158 - _step__MAX","trim-water-158 - train/accuracy_epoch","trim-water-158 - train/accuracy_epoch__MIN","trim-water-158 - train/accuracy_epoch__MAX","rose-fog-156 - _step","rose-fog-156 - _step__MIN","rose-fog-156 - _step__MAX","rose-fog-156 - train/accuracy_epoch","rose-fog-156 - train/accuracy_epoch__MIN","rose-fog-156 - train/accuracy_epoch__MAX","kind-durian-155 - _step","kind-durian-155 - _step__MIN","kind-durian-155 - _step__MAX","kind-durian-155 - train/accuracy_epoch","kind-durian-155 - train/accuracy_epoch__MIN","kind-durian-155 - train/accuracy_epoch__MAX","distinctive-disco-153 - _step","distinctive-disco-153 - _step__MIN","distinctive-disco-153 - _step__MAX","distinctive-disco-153 - train/accuracy_epoch","distinctive-disco-153 - train/accuracy_epoch__MIN","distinctive-disco-153 - train/accuracy_epoch__MAX","crisp-field-152 - _step","crisp-field-152 - _step__MIN","crisp-field-152 - _step__MAX","crisp-field-152 - train/accuracy_epoch","crisp-field-152 - train/accuracy_epoch__MIN","crisp-field-152 - train/accuracy_epoch__MAX","stoic-jazz-100 - _step","stoic-jazz-100 - _step__MIN","stoic-jazz-100 - _step__MAX","stoic-jazz-100 - train/accuracy_epoch","stoic-jazz-100 - train/accuracy_epoch__MIN","stoic-jazz-100 - train/accuracy_epoch__MAX"
"10","43","43","43","0.47157999873161316","0.47157999873161316","0.47157999873161316","43","43","43","0.47110000252723694","0.47110000252723694","0.47110000252723694","43","43","43","0.3045400083065033","0.3045400083065033","0.3045400083065033","881","881","881","0.6443600058555603","0.6443600058555603","0.6443600058555603","881","881","881","0.6394000053405762","0.6394000053405762","0.6394000053405762","881","881","881","0.6507400274276733","0.6507400274276733","0.6507400274276733","881","881","881","0.6553599834442139","0.6553599834442139","0.6553599834442139","881","881","881","0.6419399976730347","0.6419399976730347","0.6419399976730347","881","881","881","0.6423400044441223","0.6423400044441223","0.6423400044441223","43","43","43","0.33230000734329224","0.33230000734329224","0.33230000734329224","881","881","881","0.6608399748802185","0.6608399748802185","0.6608399748802185","881","881","881","0.6402599811553955","0.6402599811553955","0.6402599811553955"
"11","47","47","47","0.49546000361442566","0.49546000361442566","0.49546000361442566","47","47","47","0.4758799970149994","0.4758799970149994","0.4758799970149994","47","47","47","0.3198400139808655","0.3198400139808655","0.3198400139808655","961","961","961","0.647159993648529","0.647159993648529","0.647159993648529","961","961","961","0.6423199772834778","0.6423199772834778","0.6423199772834778","961","961","961","0.6627399921417236","0.6627399921417236","0.6627399921417236","961","961","961","0.6581199765205383","0.6581199765205383","0.6581199765205383","961","961","961","0.6438999772071838","0.6438999772071838","0.6438999772071838","961","961","961","0.6432399749755859","0.6432399749755859","0.6432399749755859","47","47","47","0.349839985370636","0.349839985370636","0.349839985370636","961","961","961","0.6661999821662903","0.6661999821662903","0.6661999821662903","961","961","961","0.6428800225257874","0.6428800225257874","0.6428800225257874"
"12","51","51","51","0.5204600095748901","0.5204600095748901","0.5204600095748901","51","51","51","0.5151600241661072","0.5151600241661072","0.5151600241661072","51","51","51","0.3432599902153015","0.3432599902153015","0.3432599902153015","1041","1041","1041","0.646340012550354","0.646340012550354","0.646340012550354","1041","1041","1041","0.6436399817466736","0.6436399817466736","0.6436399817466736","1041","1041","1041","0.669439971446991","0.669439971446991","0.669439971446991","1041","1041","1041","0.6601600050926208","0.6601600050926208","0.6601600050926208","1041","1041","1041","0.6452800035476685","0.6452800035476685","0.6452800035476685","1041","1041","1041","0.6450200080871582","0.6450200080871582","0.6450200080871582","51","51","51","0.375900000333786","0.375900000333786","0.375900000333786","1041","1041","1041","0.6696599721908569","0.6696599721908569","0.6696599721908569","1041","1041","1041","0.6446400284767151","0.6446400284767151","0.6446400284767151"
"13","55","55","55","0.5174199938774109","0.5174199938774109","0.5174199938774109","55","55","55","0.5278800129890442","0.5278800129890442","0.5278800129890442","55","55","55","0.36702001094818115","0.36702001094818115","0.36702001094818115","1121","1121","1121","0.6481999754905701","0.6481999754905701","0.6481999754905701","1121","1121","1121","0.6427800059318542","0.6427800059318542","0.6427800059318542","1121","1121","1121","0.6734600067138672","0.6734600067138672","0.6734600067138672","1121","1121","1121","0.6599799990653992","0.6599799990653992","0.6599799990653992","1121","1121","1121","0.6452599763870239","0.6452599763870239","0.6452599763870239","1121","1121","1121","0.6460599899291992","0.6460599899291992","0.6460599899291992","55","55","55","0.39566001296043396","0.39566001296043396","0.39566001296043396","1121","1121","1121","0.673740029335022","0.673740029335022","0.673740029335022","1121","1121","1121","0.644540011882782","0.644540011882782","0.644540011882782"
"14","59","59","59","0.5434200167655945","0.5434200167655945","0.5434200167655945","59","59","59","0.5446000099182129","0.5446000099182129","0.5446000099182129","59","59","59","0.386819988489151","0.386819988489151","0.386819988489151","1201","1201","1201","0.6467800140380859","0.6467800140380859","0.6467800140380859","1201","1201","1201","0.6424599885940552","0.6424599885940552","0.6424599885940552","1201","1201","1201","0.675279974937439","0.675279974937439","0.675279974937439","1201","1201","1201","0.6622599959373474","0.6622599959373474","0.6622599959373474","1201","1201","1201","0.6451200246810913","0.6451200246810913","0.6451200246810913","1201","1201","1201","0.6506400108337402","0.6506400108337402","0.6506400108337402","59","59","59","0.4106599986553192","0.4106599986553192","0.4106599986553192","1201","1201","1201","0.6742799878120422","0.6742799878120422","0.6742799878120422","1201","1201","1201","0.6429399847984314","0.6429399847984314","0.6429399847984314"
"15","63","63","63","0.5607600212097168","0.5607600212097168","0.5607600212097168","63","63","63","0.5497199892997742","0.5497199892997742","0.5497199892997742","63","63","63","0.40446001291275024","0.40446001291275024","0.40446001291275024","1281","1281","1281","0.6505799889564514","0.6505799889564514","0.6505799889564514","1281","1281","1281","0.6445800065994263","0.6445800065994263","0.6445800065994263","1281","1281","1281","0.6808800101280212","0.6808800101280212","0.6808800101280212","1281","1281","1281","0.6655600070953369","0.6655600070953369","0.6655600070953369","1281","1281","1281","0.6459199786186218","0.6459199786186218","0.6459199786186218","1281","1281","1281","0.6481999754905701","0.6481999754905701","0.6481999754905701","63","63","63","0.4334000051021576","0.4334000051021576","0.4334000051021576","1281","1281","1281","0.6795399785041809","0.6795399785041809","0.6795399785041809","1281","1281","1281","0.6494399905204773","0.6494399905204773","0.6494399905204773"
"16","67","67","67","0.5657600164413452","0.5657600164413452","0.5657600164413452","67","67","67","0.5741199851036072","0.5741199851036072","0.5741199851036072","67","67","67","0.42636001110076904","0.42636001110076904","0.42636001110076904","1361","1361","1361","0.6506199836730957","0.6506199836730957","0.6506199836730957","1361","1361","1361","0.646619975566864","0.646619975566864","0.646619975566864","1361","1361","1361","0.6847000122070312","0.6847000122070312","0.6847000122070312","1361","1361","1361","0.6658400297164917","0.6658400297164917","0.6658400297164917","1361","1361","1361","0.6468600034713745","0.6468600034713745","0.6468600034713745","1361","1361","1361","0.6490200161933899","0.6490200161933899","0.6490200161933899","67","67","67","0.4555000066757202","0.4555000066757202","0.4555000066757202","1361","1361","1361","0.6811800003051758","0.6811800003051758","0.6811800003051758","1361","1361","1361","0.6524999737739563","0.6524999737739563","0.6524999737739563"
"17","71","71","71","0.5845400094985962","0.5845400094985962","0.5845400094985962","71","71","71","0.5816599726676941","0.5816599726676941","0.5816599726676941","71","71","71","0.43860000371932983","0.43860000371932983","0.43860000371932983","1441","1441","1441","0.6462600231170654","0.6462600231170654","0.6462600231170654","1441","1441","1441","0.6432399749755859","0.6432399749755859","0.6432399749755859","1441","1441","1441","0.6889399886131287","0.6889399886131287","0.6889399886131287","1441","1441","1441","0.6668599843978882","0.6668599843978882","0.6668599843978882","1441","1441","1441","0.6456000208854675","0.6456000208854675","0.6456000208854675","1441","1441","1441","0.6484799981117249","0.6484799981117249","0.6484799981117249","71","71","71","0.4684999883174896","0.4684999883174896","0.4684999883174896","1441","1441","1441","0.6826800107955933","0.6826800107955933","0.6826800107955933","1441","1441","1441","0.647059977054596","0.647059977054596","0.647059977054596"
"18","75","75","75","0.5974799990653992","0.5974799990653992","0.5974799990653992","75","75","75","0.5964199900627136","0.5964199900627136","0.5964199900627136","75","75","75","0.45989999175071716","0.45989999175071716","0.45989999175071716","1521","1521","1521","0.650600016117096","0.650600016117096","0.650600016117096","1521","1521","1521","0.6463800072669983","0.6463800072669983","0.6463800072669983","1521","1521","1521","0.6908199787139893","0.6908199787139893","0.6908199787139893","1521","1521","1521","0.6705600023269653","0.6705600023269653","0.6705600023269653","1521","1521","1521","0.6474800109863281","0.6474800109863281","0.6474800109863281","1521","1521","1521","0.6504200100898743","0.6504200100898743","0.6504200100898743","75","75","75","0.4857400059700012","0.4857400059700012","0.4857400059700012","1521","1521","1521","0.6867799758911133","0.6867799758911133","0.6867799758911133","1521","1521","1521","0.651960015296936","0.651960015296936","0.651960015296936"
"19","79","79","79","0.6024799942970276","0.6024799942970276","0.6024799942970276","79","79","79","0.606220006942749","0.606220006942749","0.606220006942749","79","79","79","0.47394001483917236","0.47394001483917236","0.47394001483917236","1603","1603","1603","0.6499800086021423","0.6499800086021423","0.6499800086021423","1603","1603","1603","0.6460000276565552","0.6460000276565552","0.6460000276565552","1603","1603","1603","0.6976600289344788","0.6976600289344788","0.6976600289344788","1603","1603","1603","0.6722999811172485","0.6722999811172485","0.6722999811172485","1603","1603","1603","0.6499199867248535","0.6499199867248535","0.6499199867248535","1603","1603","1603","0.6551200151443481","0.6551200151443481","0.6551200151443481","79","79","79","0.5014600157737732","0.5014600157737732","0.5014600157737732","1603","1603","1603","0.6880599856376648","0.6880599856376648","0.6880599856376648","1603","1603","1603","0.6573799848556519","0.6573799848556519","0.6573799848556519"
"20","83","83","83","0.6183599829673767","0.6183599829673767","0.6183599829673767","83","83","83","0.6152399778366089","0.6152399778366089","0.6152399778366089","83","83","83","0.49678000807762146","0.49678000807762146","0.49678000807762146","1683","1683","1683","0.6561599969863892","0.6561599969863892","0.6561599969863892","1683","1683","1683","0.6525999903678894","0.6525999903678894","0.6525999903678894","1683","1683","1683","0.7014600038528442","0.7014600038528442","0.7014600038528442","1683","1683","1683","0.6761800050735474","0.6761800050735474","0.6761800050735474","1683","1683","1683","0.6551600098609924","0.6551600098609924","0.6551600098609924","1683","1683","1683","0.6576399803161621","0.6576399803161621","0.6576399803161621","83","83","83","0.5163599848747253","0.5163599848747253","0.5163599848747253","1683","1683","1683","0.6915000081062317","0.6915000081062317","0.6915000081062317","1683","1683","1683","0.6552799940109253","0.6552799940109253","0.6552799940109253"
"21","87","87","87","0.6266199946403503","0.6266199946403503","0.6266199946403503","87","87","87","0.627560019493103","0.627560019493103","0.627560019493103","87","87","87","0.5153999924659729","0.5153999924659729","0.5153999924659729","1763","1763","1763","0.6536200046539307","0.6536200046539307","0.6536200046539307","1763","1763","1763","0.6500399708747864","0.6500399708747864","0.6500399708747864","1763","1763","1763","0.7005400061607361","0.7005400061607361","0.7005400061607361","1763","1763","1763","0.6744999885559082","0.6744999885559082","0.6744999885559082","1763","1763","1763","0.6530399918556213","0.6530399918556213","0.6530399918556213","1763","1763","1763","0.6535800099372864","0.6535800099372864","0.6535800099372864","87","87","87","0.5300400257110596","0.5300400257110596","0.5300400257110596","1763","1763","1763","0.6928799748420715","0.6928799748420715","0.6928799748420715","1763","1763","1763","0.6546000242233276","0.6546000242233276","0.6546000242233276"
"22","91","91","91","0.6410999894142151","0.6410999894142151","0.6410999894142151","91","91","91","0.6345199942588806","0.6345199942588806","0.6345199942588806","91","91","91","0.5270400047302246","0.5270400047302246","0.5270400047302246","1843","1843","1843","0.6530799865722656","0.6530799865722656","0.6530799865722656","1843","1843","1843","0.6499599814414978","0.6499599814414978","0.6499599814414978","1843","1843","1843","0.7028200030326843","0.7028200030326843","0.7028200030326843","1843","1843","1843","0.6759399771690369","0.6759399771690369","0.6759399771690369","1843","1843","1843","0.6519399881362915","0.6519399881362915","0.6519399881362915","1843","1843","1843","0.6535599827766418","0.6535599827766418","0.6535599827766418","91","91","91","0.541920006275177","0.541920006275177","0.541920006275177","1843","1843","1843","0.6912999749183655","0.6912999749183655","0.6912999749183655","1843","1843","1843","0.6552600264549255","0.6552600264549255","0.6552600264549255"
"23","95","95","95","0.6379799842834473","0.6379799842834473","0.6379799842834473","95","95","95","0.6458200216293335","0.6458200216293335","0.6458200216293335","95","95","95","0.5411999821662903","0.5411999821662903","0.5411999821662903","1923","1923","1923","0.6565999984741211","0.6565999984741211","0.6565999984741211","1923","1923","1923","0.653659999370575","0.653659999370575","0.653659999370575","1923","1923","1923","0.7027599811553955","0.7027599811553955","0.7027599811553955","1923","1923","1923","0.6783400177955627","0.6783400177955627","0.6783400177955627","1923","1923","1923","0.652459979057312","0.652459979057312","0.652459979057312","1923","1923","1923","0.6540600061416626","0.6540600061416626","0.6540600061416626","95","95","95","0.5483599901199341","0.5483599901199341","0.5483599901199341","1923","1923","1923","0.6940400004386902","0.6940400004386902","0.6940400004386902","1923","1923","1923","0.6556800007820129","0.6556800007820129","0.6556800007820129"
"24","99","99","99","0.6542199850082397","0.6542199850082397","0.6542199850082397","99","99","99","0.6556400060653687","0.6556400060653687","0.6556400060653687","99","99","99","0.5573800206184387","0.5573800206184387","0.5573800206184387","2003","2003","2003","0.6533399820327759","0.6533399820327759","0.6533399820327759","2003","2003","2003","0.653439998626709","0.653439998626709","0.653439998626709","2003","2003","2003","0.7066400051116943","0.7066400051116943","0.7066400051116943","2003","2003","2003","0.676639974117279","0.676639974117279","0.676639974117279","2003","2003","2003","0.6549000144004822","0.6549000144004822","0.6549000144004822","2003","2003","2003","0.6557999849319458","0.6557999849319458","0.6557999849319458","99","99","99","0.5601400136947632","0.5601400136947632","0.5601400136947632","2003","2003","2003","0.6916999816894531","0.6916999816894531","0.6916999816894531","2003","2003","2003","0.6560199856758118","0.6560199856758118","0.6560199856758118"
"25","103","103","103","0.6639599800109863","0.6639599800109863","0.6639599800109863","103","103","103","0.6652200222015381","0.6652200222015381","0.6652200222015381","103","103","103","0.5648000240325928","0.5648000240325928","0.5648000240325928","2083","2083","2083","0.6525200009346008","0.6525200009346008","0.6525200009346008","2083","2083","2083","0.6518200039863586","0.6518200039863586","0.6518200039863586","2083","2083","2083","0.7062399983406067","0.7062399983406067","0.7062399983406067","2083","2083","2083","0.677079975605011","0.677079975605011","0.677079975605011","2083","2083","2083","0.651419997215271","0.651419997215271","0.651419997215271","2083","2083","2083","0.6542400121688843","0.6542400121688843","0.6542400121688843","103","103","103","0.571619987487793","0.571619987487793","0.571619987487793","2083","2083","2083","0.693120002746582","0.693120002746582","0.693120002746582","2083","2083","2083","0.6540399789810181","0.6540399789810181","0.6540399789810181"
"26","107","107","107","0.6713399887084961","0.6713399887084961","0.6713399887084961","107","107","107","0.6649199724197388","0.6649199724197388","0.6649199724197388","107","107","107","0.5797399878501892","0.5797399878501892","0.5797399878501892","2163","2163","2163","0.6500599980354309","0.6500599980354309","0.6500599980354309","2163","2163","2163","0.6488800048828125","0.6488800048828125","0.6488800048828125","2163","2163","2163","0.7085999846458435","0.7085999846458435","0.7085999846458435","2163","2163","2163","0.6768400073051453","0.6768400073051453","0.6768400073051453","2163","2163","2163","0.6506800055503845","0.6506800055503845","0.6506800055503845","2163","2163","2163","0.6548600196838379","0.6548600196838379","0.6548600196838379","107","107","107","0.5818799734115601","0.5818799734115601","0.5818799734115601","2163","2163","2163","0.6933799982070923","0.6933799982070923","0.6933799982070923","2163","2163","2163","0.6553599834442139","0.6553599834442139","0.6553599834442139"
